numero_domanda,domanda,modello,categoria,note
6,"Cos'è l'indice glicemico e in cosa differisce dal carico glicemico?",Claude,Corretto,"Definizioni e classificazioni IG/CG in linea con la letteratura standard, esempio dell'anguria con numeri realistici (IG 72-80, CG ~4-5) usato correttamente"
6,"Cos'è l'indice glicemico e in cosa differisce dal carico glicemico?",Gemini,Corretto,"Sostanza corretta, ma usa impropriamente 'carboidrati netti' nella formula del CG invece del termine tecnicamente corretto 'carboidrati disponibili' - imprecisione terminologica minore, non cambia il calcolo"
6,"Cos'è l'indice glicemico e in cosa differisce dal carico glicemico?",ChatGPT,Corretto,"Risposta più completa: terminologia corretta ('carboidrati disponibili'), aggiunge dettaglio su porzioni abbondanti e altri fattori che influenzano la risposta glicemica (fibre, grassi/proteine, cottura, porzione)"
7,"Il digiuno intermittente ha effetti dimostrati sul metabolismo lipidico?",Claude,Corretto,"Risposta ben calibrata: distingue consolidato (trigliceridi, meccanismo metabolico) da incerto (LDL 'meno costante', confondimento con perdita di peso), cita limiti degli studi, conclude correttamente 'benefici comparabili non superiori' alla restrizione calorica standard - riflette bene la letteratura attuale"
7,"Il digiuno intermittente ha effetti dimostrati sul metabolismo lipidico?",ChatGPT,Corretto,"Stessa qualità di calibrazione di Claude, conclusione bilanciata equivalente, aggiunge dettaglio su time-restricted eating e ritmo circadiano"
7,"Il digiuno intermittente ha effetti dimostrati sul metabolismo lipidico?",Gemini,Corretto ma con nota di calibrazione,"Meccanismo corretto, aggiunge dettaglio di valore non presente altrove (riduzione lipidi ectopici/steatosi epatica); MA presenta l'effetto su LDL/colesterolo totale come 'modesta ma significativa diminuzione' - più sicurezza di quanto la letteratura mista realmente supporti (Claude/ChatGPT lo descrivono più correttamente come 'variabile/incostante'); esempio di overconfidence su dato controverso, non invenzione netta"
8,"Quali sono i principali sintomi da carenza di vitamina B12 e chi è più a rischio?",Claude,Corretto,"Risposta completa e ben organizzata, meccanismi corretti (gastrite atrofica, fattore intrinseco, interazioni farmacologiche con metformina/IPP), include indicazioni diagnostiche accurate (omocisteina, acido metilmalonico)"
8,"Quali sono i principali sintomi da carenza di vitamina B12 e chi è più a rischio?",Gemini,Corretto,"Stessa qualità e completezza di Claude, meccanismi corretti; aggiunge la stitichezza tra i disturbi digestivi - sintomo meno tipicamente associato alla carenza di B12 in letteratura standard (più tipica la diarrea da malassorbimento), non errore netto ma aggiunta anomala"
8,"Quali sono i principali sintomi da carenza di vitamina B12 e chi è più a rischio?",ChatGPT,Corretto,"Stessa sostanza corretta, aggiunge capogiri (plausibile), buona sezione su quando rivolgersi al medico"
9,"Cosa favorisce e cosa inibisce l'assorbimento del ferro non eme nella dieta?",Claude,Corretto,"Risposta completa e precisa: vitamina C, fattore MFP, acidi organici, fermentazione/germogliazione, fitati, polifenoli/tannini, calcio, fosvitina dell'uovo, proteine della soia, e classifica correttamente gli ossalati (spinaci/bietole) come categoria distinta tra gli inibitori"
9,"Cosa favorisce e cosa inibisce l'assorbimento del ferro non eme nella dieta?",ChatGPT,Corretto,"Risposta solida e pratica (tabella riassuntiva, esempi di pasti), corretta su tutti i punti trattati; meno esaustiva di Claude (non menziona ossalati né fosvitina dell'uovo) ma senza errori"
9,"Cosa favorisce e cosa inibisce l'assorbimento del ferro non eme nella dieta?",Gemini,Errore fattuale minore,"Include un dettaglio accurato non banale (il ferro dell'uovo è non-eme nonostante l'origine animale); MA classifica erroneamente gli spinaci sotto 'polifenoli e tannini' - il meccanismo noto per cui gli spinaci inibiscono l'assorbimento del ferro è legato agli ossalati, non ai polifenoli - errore di categorizzazione del meccanismo"
10,"Qual è il ruolo della vitamina D nel metabolismo del calcio?",Claude,Corretto,"Molto dettagliata a livello molecolare: calbindina, canali TRPV6, pompe Ca2+-ATPasi, percentuali di assorbimento realistiche (10-15% senza vit D, 30-40% con livelli adeguati), asse PTH, conseguenze della carenza corrette"
10,"Qual è il ruolo della vitamina D nel metabolismo del calcio?",ChatGPT,Corretto,"Corretta ma più sintetica, copre i concetti chiave (assorbimento intestinale, PTH, mineralizzazione, conseguenze della carenza) senza dettaglio molecolare specifico"
10,"Qual è il ruolo della vitamina D nel metabolismo del calcio?",Gemini,Corretto,"Accurata, aggiunge dettaglio di valore non esplicitato dagli altri due: il percorso di attivazione (idrossilazione epatica a 25-OH-D, poi renale a calcitriolo) e specifica correttamente che la vitamina D è metabolicamente un ormone"
11,"Qual è il fabbisogno giornaliero raccomandato di sodio secondo le linee guida, e quali rischi comporta l'eccesso cronico?",Claude,Corretto,"Completa: OMS (<2g sodio), linee guida italiane CREA/LARN, AHA (1,5g/2,3g corretti), consumo medio reale doppio/triplo, popolazioni sale-sensibili (anziani, sovrappeso, discendenza africana) documentate in letteratura clinica"
11,"Qual è il fabbisogno giornaliero raccomandato di sodio secondo le linee guida, e quali rischi comporta l'eccesso cronico?",ChatGPT,Corretto,"Completa, chiarisce bene distinzione sodio/sale con conversione corretta (1g sodio ≈ 2,5g sale), aggiunge rischio non menzionato altrove: calcolosi renale da aumentata escrezione urinaria di calcio"
11,"Qual è il fabbisogno giornaliero raccomandato di sodio secondo le linee guida, e quali rischi comporta l'eccesso cronico?",Gemini,Corretto ma incompleto,"Corretta su tutti i punti trattati (ipertensione, danno renale, osteoporosi, rischio gastrico) ma più sintetica: non menziona distinzione sodio/sale, non cita AHA, non dà dato sul consumo medio reale"
12,"Qual è la differenza fisiopatologica tra allergia alimentare e intolleranza alimentare?",Claude,Corretto,"Completa e precisa (sensibilizzazione, degranulazione, mediatori chimici, forme non-IgE mediate); dettaglio unico: cita la celiachia come eccezione a sé - immuno-mediata (autoimmune) ma non allergia IgE classica né intolleranza vera, categoria distinta"
12,"Qual è la differenza fisiopatologica tra allergia alimentare e intolleranza alimentare?",ChatGPT,Corretto,"Stessa qualità e struttura, dettaglio unico e accurato: introduce il concetto di pseudoallergia (rilascio diretto di istamina senza IgE) e il malassorbimento di altri zuccheri (fruttosio, sorbitolo) come meccanismo distinto dal deficit di lattasi"
12,"Qual è la differenza fisiopatologica tra allergia alimentare e intolleranza alimentare?",Gemini,Corretto,"Solida e ben strutturata quanto le altre due, tabella comparativa chiara, ma senza aggiungere un'eccezione o meccanismo distintivo unico rispetto agli altri due - nessun errore, solo minor originalità"
13,"Una dieta vegana ben pianificata copre tutti i fabbisogni nutrizionali di un adulto? Quali nutrienti richiedono attenzione specifica?",Claude,Corretto,"Completa: B12, vitamina D (dettaglio preciso D3 lanolina vs D3 vegana da lichene), ferro, calcio, zinco, omega-3, iodio; sfata correttamente il mito della combinazione proteica nello stesso pasto"
13,"Una dieta vegana ben pianificata copre tutti i fabbisogni nutrizionali di un adulto? Quali nutrienti richiedono attenzione specifica?",ChatGPT,Corretto,"Stessa completezza, aggiunta unica e sofisticata: il selenio (dipendente dal suolo, eccezione noci del Brasile); corretto anche sul rischio di eccesso di iodio da alcune alghe"
13,"Una dieta vegana ben pianificata copre tutti i fabbisogni nutrizionali di un adulto? Quali nutrienti richiedono attenzione specifica?",Gemini,Corretto ma incompleto,"Spiegazioni meccanicistiche precise (batteri del suolo per B12, soglia calcio acque minerali >150mg/L, ossalati e biodisponibilità calcio) MA non menziona affatto le proteine - omissione rilevante dato che è il dubbio più comune sulle diete vegane e la domanda chiedeva esplicitamente la copertura di TUTTI i fabbisogni"
14,"Quali sono i rischi nutrizionali specifici di una dieta chetogenica prolungata?",Claude,Corretto,"Completa e ben calibrata su carenze micronutrienti, elettroliti, rischio renale, profilo lipidico, salute ossea, microbiota, keto flu, amenorrea; nota di calibrazione: presenta la steatosi epatica in modo abbastanza assertivo mentre la letteratura reale è più mista - stesso pattern di overconfidence già osservato con il digiuno intermittente"
14,"Quali sono i rischi nutrizionali specifici di una dieta chetogenica prolungata?",ChatGPT,Corretto,"Stessa completezza, meglio calibrato sul rischio epatico (nessun problema significativo in persone sane, cautela solo se patologie preesistenti); dettaglio unico: perdita di fitonutrienti (polifenoli, carotenoidi) da eliminazione di frutta/legumi/cereali integrali; cita ruolo del citrato urinario ridotto nei calcoli renali"
14,"Quali sono i rischi nutrizionali specifici di una dieta chetogenica prolungata?",Gemini,Corretto,"Completa, due dettagli unici e accurati: rischio di gotta/acido urico da metabolismo proteico e chetosi, ed effetti ormonali specifici per sesso (asse ipotalamo-ipofisi-ovaio nelle donne, riduzione conversione T3 e testosterone negli uomini)"
15,"Cosa significa legalmente in etichetta la dicitura 'light' o 'leggero' per un alimento?",Claude,Corretto,"Cita correttamente Reg. CE 1924/2006, soglia 30% di riduzione, obblighi di etichetta; aggiunge dettaglio corretto sull'eccezione dei vini (gradazione alcolica ridotta, regole distinte)"
15,"Cosa significa legalmente in etichetta la dicitura 'light' o 'leggero' per un alimento?",ChatGPT,Corretto,"Stessa base normativa corretta, esempio numerico concreto ben fatto (yogurt 10g->7g zuccheri); nota su criteri diversi per il sodio non verificabile con certezza ma presentata con cautela appropriata, non è un errore netto"
15,"Cosa significa legalmente in etichetta la dicitura 'light' o 'leggero' per un alimento?",Gemini,Errore fattuale minore,"Fonde erroneamente 'senza zuccheri' (max 0,5g/100g) e 'a basso contenuto di zuccheri' (max 5g/100g, soglia dieci volte più alta) sotto un'unica soglia di 0,5g; stesso problema per i grassi (fonde 'senza grassi' 0,5g con 'basso contenuto' 3g/100g) - errore di categorizzazione normativa specifico e verificabile"
16,"Cosa indica il Nutri-Score e come viene calcolato a grandi linee?",Claude,Corretto,"Completa, distingue correttamente da classificazione NOVA (livello di trasformazione), cita algoritmi differenziati per bevande/formaggi/grassi aggiunti, mostra consapevolezza della revisione 2023-2024 e del limite storico su zuccheri naturali vs aggiunti"
16,"Cosa indica il Nutri-Score e come viene calcolato a grandi linee?",ChatGPT,Corretto,"Corretta e chiara, stessa sostanza (componenti sfavorevoli/favorevoli, confronto solo entro stessa categoria), meno approfondita delle altre due (non menziona algoritmi differenziati né revisione recente)"
16,"Cosa indica il Nutri-Score e come viene calcolato a grandi linee?",Gemini,Corretto,"Accurata, dettaglio tecnico preciso in più: range di punteggio effettivi dell'algoritmo (0-10 negativi, 0-5 positivi per parametro) e nomina gli oli specifici con punteggio bonus (oliva, colza, noce)"
17,"Cosa significa 'fonte di fibre' secondo la normativa sui claim nutrizionali europei (quantità minima richiesta)?",Claude,Corretto,"Soglie esatte corrette (3g/100g O 1,5g/100kcal per 'fonte di fibre'; 6g/100g O 3g/100kcal per 'alto contenuto'); aggiunge dettaglio corretto sui metodi analitici richiesti (es. AOAC)"
17,"Cosa significa 'fonte di fibre' secondo la normativa sui claim nutrizionali europei (quantità minima richiesta)?",ChatGPT,Corretto,"Stesse soglie corrette, ottimo esempio pratico che chiarisce la logica OR tra i due criteri (2,5g/100g può comunque qualificarsi se soddisfa il criterio kcal alternativo); cita fonte ufficiale EUR-Lex"
17,"Cosa significa 'fonte di fibre' secondo la normativa sui claim nutrizionali europei (quantità minima richiesta)?",Gemini,Errore fattuale minore,"Numeri tutti corretti ma meccanismo presentato in modo impreciso: descrive il criterio per 100g come per i solidi e quello per 100kcal come per i liquidi, come se fossero percorsi separati per tipo di prodotto, mentre la normativa li presenta come criteri alternativi validi per qualsiasi alimento indipendentemente dallo stato fisico - errore di applicabilità/meccanismo, non di valori"
18,"Cosa cambia nei fabbisogni nutrizionali di una donna in gravidanza rispetto a una donna non gravida (es. acido folico, ferro)?",Claude,Corretto,"Valori esatti e corretti: acido folico 400->600 μg/die, ferro 18->27 mg/die, iodio 150->220-250 μg/die, calcio stabile ~1000mg/die, proteine +25g/die, energia +0/+340/+450 kcal per trimestre; aggiunge colina, DHA, B12"
18,"Cosa cambia nei fabbisogni nutrizionali di una donna in gravidanza rispetto a una donna non gravida (es. acido folico, ferro)?",ChatGPT,Corretto,"Tabella precisa ed efficace, aggiunge valori corretti non quantificati da Claude: B12 (2,4->2,6 μg/die), vitamina C (75->85 mg/die), vitamina D (15 μg/die, invariata in gravidanza secondo molte linee guida)"
18,"Cosa cambia nei fabbisogni nutrizionali di una donna in gravidanza rispetto a una donna non gravida (es. acido folico, ferro)?",Gemini,Errore fattuale minore,"Incongruenza sul dato più critico: dice che il fabbisogno di acido folico 'raddoppia quasi' ma poi cita lo stesso valore di partenza (400 μg/die) come dose in gravidanza, senza mai indicare l'aumento a ~600 μg/die dato correttamente da Claude e ChatGPT; stima anche l'aumento proteico a +10-15g/die (più basso del +25g/die più comune); aggiunge però contenuti di valore assenti altrove (sicurezza alimentare - toxoplasmosi/listeriosi - e idratazione)"
19,"Quali sono le raccomandazioni attuali sul consumo di carne rossa e carne processata in relazione al rischio oncologico?",Claude,Corretto,"Classificazione IARC corretta (Gruppo 1/2A), precisazione fondamentale su certezza evidenza vs potenza rischio, dato statistico corretto (+18% rischio/50g/die), confronto tra fonti (WCRF/Harvard/IARC), meccanismi biologici corretti"
19,"Quali sono le raccomandazioni attuali sul consumo di carne rossa e carne processata in relazione al rischio oncologico?",ChatGPT,Corretto,"Stessa qualità e precisione, stessa nuance su certezza vs potenza del rischio, ben referenziato, comunica bene che non è una soglia netta ma rischio continuo"
19,"Quali sono le raccomandazioni attuali sul consumo di carne rossa e carne processata in relazione al rischio oncologico?",Gemini,Errore fattuale minore,"Errore di notazione: indica l'acronimo delle ammine eterocicliche come 'AHA' invece del corretto HCA (Heterocyclic Amines); presenta anche i legami carne rossa-tumori prostata/pancreas con più sicurezza di quanto l'evidenza WCRF (definita 'limitata/suggestiva') giustifichi - altro caso di lieve overconfidence su associazione secondaria"
20,"Cosa si intende per 'piramide alimentare' e quali critiche le vengono mosse dai modelli nutrizionali più recenti?",Claude,Corretto,"Descrizione completa e accurata (origine mediterranea, anni '90, Ancel Keys), quattro critiche ben argomentate, modelli alternativi con dettagli precisi (Harvard Healthy Eating Plate, proporzioni ½-¼-¼)"
20,"Cosa si intende per 'piramide alimentare' e quali critiche le vengono mosse dai modelli nutrizionali più recenti?",ChatGPT,Corretto,"Stessa sostanza corretta, due osservazioni sofisticate uniche: collocazione fuorviante (base non implica sempre preferibile) e critica alla natura statica della piramide (porzioni, frequenze, varietà, contesto culturale)"
20,"Cosa si intende per 'piramide alimentare' e quali critiche le vengono mosse dai modelli nutrizionali più recenti?",Gemini,Corretto,"Accurata, dettaglio storico specifico e verificabile non presente altrove: attribuisce correttamente la piramide classica a USDA 1992 con indicazione originale di 6-11 porzioni di cereali alla base; usa correttamente l'acronimo UPF"
